mese;Regioni di residenza;Strutture;Valori
Agosto;CAMPANIA;Alberghi 2 stelle;250
Settembre;CAMPANIA;Alberghi 2 stelle;534
Ottobre;CAMPANIA;Alberghi 2 stelle;534
Novembre;CAMPANIA;Alberghi 2 stelle;548
Dicembre;CAMPANIA;Alberghi 2 stelle;380
Gennaio;PUGLIA;Alberghi 2 stelle;329
Febbraio;PUGLIA;Alberghi 2 stelle;412
Marzo;PUGLIA;Alberghi 2 stelle;371
Aprile;PUGLIA;Alberghi 2 stelle;354
Maggio;PUGLIA;Alberghi 2 stelle;351
Giugno;PUGLIA;Alberghi 2 stelle;324
Luglio;PUGLIA;Alberghi 2 stelle;352
Agosto;PUGLIA;Alberghi 2 stelle;152
Settembre;PUGLIA;Alberghi 2 stelle;449
Ottobre;PUGLIA;Alberghi 2 stelle;441
Novembre;PUGLIA;Alberghi 2 stelle;376
Dicembre;PUGLIA;Alberghi 2 stelle;355
Gennaio;BASILICATA;Alberghi 2 stelle;57
Febbraio;BASILICATA;Alberghi 2 stelle;43
Marzo;BASILICATA;Alberghi 2 stelle;52
Aprile;BASILICATA;Alberghi 2 stelle;54
Maggio;BASILICATA;Alberghi 2 stelle;46
Giugno;BASILICATA;Alberghi 2 stelle;51
Luglio;BASILICATA;Alberghi 2 stelle;40
Agosto;BASILICATA;Alberghi 2 stelle;26
Settembre;BASILICATA;Alberghi 2 stelle;69
Ottobre;BASILICATA;Alberghi 2 stelle;67
Novembre;BASILICATA;Alberghi 2 stelle;32
Dicembre;BASILICATA;Alberghi 2 stelle;67
Gennaio;CALABRIA;Alberghi 2 stelle;182
Febbraio;CALABRIA;Alberghi 2 stelle;230
Marzo;CALABRIA;Alberghi 2 stelle;189
Aprile;CALABRIA;Alberghi 2 stelle;173
Maggio;CALABRIA;Alberghi 2 stelle;170
Giugno;CALABRIA;Alberghi 2 stelle;157
Luglio;CALABRIA;Alberghi 2 stelle;151
Agosto;CALABRIA;Alberghi 2 stelle;82
Settembre;CALABRIA;Alberghi 2 stelle;209
Ottobre;CALABRIA;Alberghi 2 stelle;232
Novembre;CALABRIA;Alberghi 2 stelle;184
Dicembre;CALABRIA;Alberghi 2 stelle;155
Gennaio;SICILIA;Alberghi 2 stelle;337
Febbraio;SICILIA;Alberghi 2 stelle;372
Marzo;SICILIA;Alberghi 2 stelle;401
Aprile;SICILIA;Alberghi 2 stelle;418
Maggio;SICILIA;Alberghi 2 stelle;448
Giugno;SICILIA;Alberghi 2 stelle;343
Luglio;SICILIA;Alberghi 2 stelle;348
Agosto;SICILIA;Alberghi 2 stelle;169
Settembre;SICILIA;Alberghi 2 stelle;400
Ottobre;SICILIA;Alberghi 2 stelle;500
Novembre;SICILIA;Alberghi 2 stelle;518
Dicembre;SICILIA;Alberghi 2 stelle;358
Gennaio;SARDEGNA;Alberghi 2 stelle;126
Febbraio;SARDEGNA;Alberghi 2 stelle;139
Marzo;SARDEGNA;Alberghi 2 stelle;158
Aprile;SARDEGNA;Alberghi 2 stelle;171
Maggio;SARDEGNA;Alberghi 2 stelle;151
Giugno;SARDEGNA;Alberghi 2 stelle;149
Luglio;SARDEGNA;Alberghi 2 stelle;143
Agosto;SARDEGNA;Alberghi 2 stelle;73
Settembre;SARDEGNA;Alberghi 2 stelle;156
Ottobre;SARDEGNA;Alberghi 2 stelle;191
Novembre;SARDEGNA;Alberghi 2 stelle;216
Dicembre;SARDEGNA;Alberghi 2 stelle;185
Gennaio;BOLZANO;Alberghi 2 stelle;33
Febbraio;BOLZANO;Alberghi 2 stelle;52
Marzo;BOLZANO;Alberghi 2 stelle;44
Aprile;BOLZANO;Alberghi 2 stelle;29
Maggio;BOLZANO;Alberghi 2 stelle;58
Giugno;BOLZANO;Alberghi 2 stelle;19
Luglio;BOLZANO;Alberghi 2 stelle;25
Agosto;BOLZANO;Alberghi 2 stelle;7
Settembre;BOLZANO;Alberghi 2 stelle;18
Ottobre;BOLZANO;Alberghi 2 stelle;27
Novembre;BOLZANO;Alberghi 2 stelle;21
Dicembre;BOLZANO;Alberghi 2 stelle;17
Gennaio;TRENTO;Alberghi 2 stelle;80
Febbraio;TRENTO;Alberghi 2 stelle;70
Marzo;TRENTO;Alberghi 2 stelle;68
Aprile;TRENTO;Alberghi 2 stelle;62
Maggio;TRENTO;Alberghi 2 stelle;54
Giugno;TRENTO;Alberghi 2 stelle;59
Luglio;TRENTO;Alberghi 2 stelle;39
Agosto;TRENTO;Alberghi 2 stelle;18
Settembre;TRENTO;Alberghi 2 stelle;47
Ottobre;TRENTO;Alberghi 2 stelle;48
Novembre;TRENTO;Alberghi 2 stelle;54
Dicembre;TRENTO;Alberghi 2 stelle;44
Gennaio;PIEMONTE;Alberghi 1 stella;186
Febbraio;PIEMONTE;Alberghi 1 stella;232
Marzo;PIEMONTE;Alberghi 1 stella;239
Aprile;PIEMONTE;Alberghi 1 stella;214
Maggio;PIEMONTE;Alberghi 1 stella;235
Giugno;PIEMONTE;Alberghi 1 stella;186
Luglio;PIEMONTE;Alberghi 1 stella;172
Agosto;PIEMONTE;Alberghi 1 stella;63
Settembre;PIEMONTE;Alberghi 1 stella;197
Ottobre;PIEMONTE;Alberghi 1 stella;173
Novembre;PIEMONTE;Alberghi 1 stella;168
Dicembre;PIEMONTE;Alberghi 1 stella;154
Gennaio;VALLE D'AOSTA;Alberghi 1 stella;7
Febbraio;VALLE D'AOSTA;Alberghi 1 stella;11
Marzo;VALLE D'AOSTA;Alberghi 1 stella;3
Aprile;VALLE D'AOSTA;Alberghi 1 stella;15
Maggio;VALLE D'AOSTA;Alberghi 1 stella;9
Giugno;VALLE D'AOSTA;Alberghi 1 stella;11
Luglio;VALLE D'AOSTA;Alberghi 1 stella;6
Agosto;VALLE D'AOSTA;Alberghi 1 stella;4
Settembre;VALLE D'AOSTA;Alberghi 1 stella;17
Ottobre;VALLE D'AOSTA;Alberghi 1 stella;17
Novembre;VALLE D'AOSTA;Alberghi 1 stella;21
Dicembre;VALLE D'AOSTA;Alberghi 1 stella;12
Gennaio;LOMBARDIA;Alberghi 1 stella;999
Febbraio;LOMBARDIA;Alberghi 1 stella;1023
Marzo;LOMBARDIA;Alberghi 1 stella;1093
Aprile;LOMBARDIA;Alberghi 1 stella;961
Maggio;LOMBARDIA;Alberghi 1 stella;1130
Giugno;LOMBARDIA;Alberghi 1 stella;1081
Luglio;LOMBARDIA;Alberghi 1 stella;1065
Agosto;LOMBARDIA;Alberghi 1 stella;630
Settembre;LOMBARDIA;Alberghi 1 stella;1147
Ottobre;LOMBARDIA;Alberghi 1 stella;1101
Novembre;LOMBARDIA;Alberghi 1 stella;1028
Dicembre;LOMBARDIA;Alberghi 1 stella;945
Gennaio;VENETO;Alberghi 1 stella;163
Febbraio;VENETO;Alberghi 1 stella;247
Marzo;VENETO;Alberghi 1 stella;275
Aprile;VENETO;Alberghi 1 stella;261
Maggio;VENETO;Alberghi 1 stella;244
Giugno;VENETO;Alberghi 1 stella;259
Luglio;VENETO;Alberghi 1 stella;158
Agosto;VENETO;Alberghi 1 stella;77
Settembre;VENETO;Alberghi 1 stella;258
Ottobre;VENETO;Alberghi 1 stella;292
Novembre;VENETO;Alberghi 1 stella;266
Dicembre;VENETO;Alberghi 1 stella;204
Gennaio;FRIULI VENEZIA GIULIA;Alberghi 1 stella;57
Febbraio;FRIULI VENEZIA GIULIA;Alberghi 1 stella;84
Marzo;FRIULI VENEZIA GIULIA;Alberghi 1 stella;85
Aprile;FRIULI VENEZIA GIULIA;Alberghi 1 stella;110
Maggio;FRIULI VENEZIA GIULIA;Alberghi 1 stella;59
Giugno;FRIULI VENEZIA GIULIA;Alberghi 1 stella;91
Luglio;FRIULI VENEZIA GIULIA;Alberghi 1 stella;81
Agosto;FRIULI VENEZIA GIULIA;Alberghi 1 stella;21
Settembre;FRIULI VENEZIA GIULIA;Alberghi 1 stella;84
Ottobre;FRIULI VENEZIA GIULIA;Alberghi 1 stella;78
Novembre;FRIULI VENEZIA GIULIA;Alberghi 1 stella;72
Dicembre;FRIULI VENEZIA GIULIA;Alberghi 1 stella;36
Gennaio;LIGURIA;Alberghi 1 stella;113
Febbraio;LIGURIA;Alberghi 1 stella;144
Marzo;LIGURIA;Alberghi 1 stella;126
Aprile;LIGURIA;Alberghi 1 stella;140
Maggio;LIGURIA;Alberghi 1 stella;135
Giugno;LIGURIA;Alberghi 1 stella;118
Luglio;LIGURIA;Alberghi 1 stella;113
Agosto;LIGURIA;Alberghi 1 stella;76
Settembre;LIGURIA;Alberghi 1 stella;156
Ottobre;LIGURIA;Alberghi 1 stella;139
Novembre;LIGURIA;Alberghi 1 stella;172
Dicembre;LIGURIA;Alberghi 1 stella;159
Gennaio;EMILIA ROMAGNA;Alberghi 1 stella;167
Febbraio;EMILIA ROMAGNA;Alberghi 1 stella;211
Marzo;EMILIA ROMAGNA;Alberghi 1 stella;269
Aprile;EMILIA ROMAGNA;Alberghi 1 stella;235
Maggio;EMILIA ROMAGNA;Alberghi 1 stella;185
Giugno;EMILIA ROMAGNA;Alberghi 1 stella;211
Luglio;EMILIA ROMAGNA;Alberghi 1 stella;179
Agosto;EMILIA ROMAGNA;Alberghi 1 stella;112
Settembre;EMILIA ROMAGNA;Alberghi 1 stella;271
Ottobre;EMILIA ROMAGNA;Alberghi 1 stella;280
Novembre;EMILIA ROMAGNA;Alberghi 1 stella;271
Dicembre;EMILIA ROMAGNA;Alberghi 1 stella;225
Gennaio;TOSCANA;Alberghi 1 stella;166
Febbraio;TOSCANA;Alberghi 1 stella;221
Marzo;TOSCANA;Alberghi 1 stella;213
Aprile;TOSCANA;Alberghi 1 stella;221
Maggio;TOSCANA;Alberghi 1 stella;267
Giugno;TOSCANA;Alberghi 1 stella;184
Luglio;TOSCANA;Alberghi 1 stella;164
Agosto;TOSCANA;Alberghi 1 stella;95
Settembre;TOSCANA;Alberghi 1 stella;233
Ottobre;TOSCANA;Alberghi 1 stella;209
Novembre;TOSCANA;Alberghi 1 stella;264
Dicembre;TOSCANA;Alberghi 1 stella;213
Gennaio;UMBRIA;Alberghi 1 stella;36
Febbraio;UMBRIA;Alberghi 1 stella;64
Marzo;UMBRIA;Alberghi 1 stella;76
Aprile;UMBRIA;Alberghi 1 stella;92
Maggio;UMBRIA;Alberghi 1 stella;55
Giugno;UMBRIA;Alberghi 1 stella;57
Luglio;UMBRIA;Alberghi 1 stella;77
Agosto;UMBRIA;Alberghi 1 stella;34
Settembre;UMBRIA;Alberghi 1 stella;85
Ottobre;UMBRIA;Alberghi 1 stella;99
Novembre;UMBRIA;Alberghi 1 stella;120
Dicembre;UMBRIA;Alberghi 1 stella;58
Gennaio;MARCHE;Alberghi 1 stella;99
Febbraio;MARCHE;Alberghi 1 stella;165
Marzo;MARCHE;Alberghi 1 stella;140
Aprile;MARCHE;Alberghi 1 stella;175
Maggio;MARCHE;Alberghi 1 stella;109
Giugno;MARCHE;Alberghi 1 stella;108
Luglio;MARCHE;Alberghi 1 stella;71
Agosto;MARCHE;Alberghi 1 stella;52
Settembre;MARCHE;Alberghi 1 stella;200
Ottobre;MARCHE;Alberghi 1 stella;126
Novembre;MARCHE;Alberghi 1 stella;138
Dicembre;MARCHE;Alberghi 1 stella;121
Gennaio;LAZIO;Alberghi 1 stella;259
Febbraio;LAZIO;Alberghi 1 stella;352
Marzo;LAZIO;Alberghi 1 stella;416
Aprile;LAZIO;Alberghi 1 stella;365
Maggio;LAZIO;Alberghi 1 stella;371
Giugno;LAZIO;Alberghi 1 stella;296
Luglio;LAZIO;Alberghi 1 stella;313
Agosto;LAZIO;Alberghi 1 stella;109
Settembre;LAZIO;Alberghi 1 stella;383
Ottobre;LAZIO;Alberghi 1 stella;337
Novembre;LAZIO;Alberghi 1 stella;353
Dicembre;LAZIO;Alberghi 1 stella;230
Gennaio;ABRUZZO;Alberghi 1 stella;86
Febbraio;ABRUZZO;Alberghi 1 stella;113
Marzo;ABRUZZO;Alberghi 1 stella;102
Aprile;ABRUZZO;Alberghi 1 stella;85
Maggio;ABRUZZO;Alberghi 1 stella;72
Giugno;ABRUZZO;Alberghi 1 stella;89
Luglio;ABRUZZO;Alberghi 1 stella;91
Agosto;ABRUZZO;Alberghi 1 stella;45
Settembre;ABRUZZO;Alberghi 1 stella;117
Ottobre;ABRUZZO;Alberghi 1 stella;92
Novembre;ABRUZZO;Alberghi 1 stella;90
Dicembre;ABRUZZO;Alberghi 1 stella;65
Gennaio;MOLISE;Alberghi 1 stella;9
Febbraio;MOLISE;Alberghi 1 stella;69
Marzo;MOLISE;Alberghi 1 stella;19
Aprile;MOLISE;Alberghi 1 stella;27
Maggio;MOLISE;Alberghi 1 stella;32
Giugno;MOLISE;Alberghi 1 stella;23
Luglio;MOLISE;Alberghi 1 stella;25
Agosto;MOLISE;Alberghi 1 stella;11
Settembre;MOLISE;Alberghi 1 stella;39
Ottobre;MOLISE;Alberghi 1 stella;27
Novembre;MOLISE;Alberghi 1 stella;34
Dicembre;MOLISE;Alberghi 1 stella;12
Gennaio;CAMPANIA;Alberghi 1 stella;335
Febbraio;CAMPANIA;Alberghi 1 stella;415
Marzo;CAMPANIA;Alberghi 1 stella;362
Aprile;CAMPANIA;Alberghi 1 stella;419
Maggio;CAMPANIA;Alberghi 1 stella;350
Giugno;CAMPANIA;Alberghi 1 stella;315
Luglio;CAMPANIA;Alberghi 1 stella;339
Agosto;CAMPANIA;Alberghi 1 stella;185
Settembre;CAMPANIA;Alberghi 1 stella;433
Ottobre;CAMPANIA;Alberghi 1 stella;367
Novembre;CAMPANIA;Alberghi 1 stella;371
Dicembre;CAMPANIA;Alberghi 1 stella;294
Gennaio;PUGLIA;Alberghi 1 stella;195
Febbraio;PUGLIA;Alberghi 1 stella;315
Marzo;PUGLIA;Alberghi 1 stella;305
Aprile;PUGLIA;Alberghi 1 stella;339
Maggio;PUGLIA;Alberghi 1 stella;317
Giugno;PUGLIA;Alberghi 1 stella;209
Luglio;PUGLIA;Alberghi 1 stella;233
Agosto;PUGLIA;Alberghi 1 stella;116
Settembre;PUGLIA;Alberghi 1 stella;344
Ottobre;PUGLIA;Alberghi 1 stella;335
Novembre;PUGLIA;Alberghi 1 stella;363
Dicembre;PUGLIA;Alberghi 1 stella;234
Gennaio;BASILICATA;Alberghi 1 stella;39
Febbraio;BASILICATA;Alberghi 1 stella;38
Marzo;BASILICATA;Alberghi 1 stella;28
Aprile;BASILICATA;Alberghi 1 stella;68
Maggio;BASILICATA;Alberghi 1 stella;32
Giugno;BASILICATA;Alberghi 1 stella;24
Luglio;BASILICATA;Alberghi 1 stella;32
Agosto;BASILICATA;Alberghi 1 stella;22
Settembre;BASILICATA;Alberghi 1 stella;35
Ottobre;BASILICATA;Alberghi 1 stella;42
Novembre;BASILICATA;Alberghi 1 stella;49
Dicembre;BASILICATA;Alberghi 1 stella;38
Gennaio;CALABRIA;Alberghi 1 stella;96
Febbraio;CALABRIA;Alberghi 1 stella;136
Marzo;CALABRIA;Alberghi 1 stella;181
Aprile;CALABRIA;Alberghi 1 stella;137
Maggio;CALABRIA;Alberghi 1 stella;177
Giugno;CALABRIA;Alberghi 1 stella;150
Luglio;CALABRIA;Alberghi 1 stella;97
Agosto;CALABRIA;Alberghi 1 stella;35
Settembre;CALABRIA;Alberghi 1 stella;223
Ottobre;CALABRIA;Alberghi 1 stella;216
Novembre;CALABRIA;Alberghi 1 stella;158
Dicembre;CALABRIA;Alberghi 1 stella;112
Gennaio;SICILIA;Alberghi 1 stella;286
Febbraio;SICILIA;Alberghi 1 stella;316
Marzo;SICILIA;Alberghi 1 stella;379
Aprile;SICILIA;Alberghi 1 stella;351
Maggio;SICILIA;Alberghi 1 stella;350
Giugno;SICILIA;Alberghi 1 stella;311
Luglio;SICILIA;Alberghi 1 stella;248
Agosto;SICILIA;Alberghi 1 stella;115
Settembre;SICILIA;Alberghi 1 stella;391
Ottobre;SICILIA;Alberghi 1 stella;366
Novembre;SICILIA;Alberghi 1 stella;471
Dicembre;SICILIA;Alberghi 1 stella;293
Gennaio;SARDEGNA;Alberghi 1 stella;96
Febbraio;SARDEGNA;Alberghi 1 stella;134
Marzo;SARDEGNA;Alberghi 1 stella;144
Aprile;SARDEGNA;Alberghi 1 stella;144
Maggio;SARDEGNA;Alberghi 1 stella;143
Giugno;SARDEGNA;Alberghi 1 stella;89
Luglio;SARDEGNA;Alberghi 1 stella;128
Agosto;SARDEGNA;Alberghi 1 stella;66
Settembre;SARDEGNA;Alberghi 1 stella;263
Ottobre;SARDEGNA;Alberghi 1 stella;140
Novembre;SARDEGNA;Alberghi 1 stella;130
Dicembre;SARDEGNA;Alberghi 1 stella;112
Gennaio;BOLZANO;Alberghi 1 stella;24
Febbraio;BOLZANO;Alberghi 1 stella;29
Marzo;BOLZANO;Alberghi 1 stella;19
Aprile;BOLZANO;Alberghi 1 stella;43
Maggio;BOLZANO;Alberghi 1 stella;44
Giugno;BOLZANO;Alberghi 1 stella;29
Luglio;BOLZANO;Alberghi 1 stella;22
Agosto;BOLZANO;Alberghi 1 stella;7
Settembre;BOLZANO;Alberghi 1 stella;28
Ottobre;BOLZANO;Alberghi 1 stella;24
Novembre;BOLZANO;Alberghi 1 stella;22
Dicembre;BOLZANO;Alberghi 1 stella;27
Gennaio;TRENTO;Alberghi 1 stella;18
Febbraio;TRENTO;Alberghi 1 stella;29
Marzo;TRENTO;Alberghi 1 stella;37
Aprile;TRENTO;Alberghi 1 stella;40
Maggio;TRENTO;Alberghi 1 stella;31
Giugno;TRENTO;Alberghi 1 stella;42
Luglio;TRENTO;Alberghi 1 stella;27
Agosto;TRENTO;Alberghi 1 stella;10
Settembre;TRENTO;Alberghi 1 stella;40
Ottobre;TRENTO;Alberghi 1 stella;41
Novembre;TRENTO;Alberghi 1 stella;30
Dicembre;TRENTO;Alberghi 1 stella;24
Gennaio;PIEMONTE;Residenze turisticoalberghiere;158
Febbraio;PIEMONTE;Residenze turisticoalberghiere;199
Marzo;PIEMONTE;Residenze turisticoalberghiere;224
Aprile;PIEMONTE;Residenze turisticoalberghiere;175
Maggio;PIEMONTE;Residenze turisticoalberghiere;244
Giugno;PIEMONTE;Residenze turisticoalberghiere;189
Luglio;PIEMONTE;Residenze turisticoalberghiere;162
Agosto;PIEMONTE;Residenze turisticoalberghiere;108
Settembre;PIEMONTE;Residenze turisticoalberghiere;214
Ottobre;PIEMONTE;Residenze turisticoalberghiere;250
Novembre;PIEMONTE;Residenze turisticoalberghiere;270
Dicembre;PIEMONTE;Residenze turisticoalberghiere;246
Gennaio;VALLE D'AOSTA;Residenze turisticoalberghiere;31
Febbraio;VALLE D'AOSTA;Residenze turisticoalberghiere;5
Marzo;VALLE D'AOSTA;Residenze turisticoalberghiere;2
Aprile;VALLE D'AOSTA;Residenze turisticoalberghiere;3
Maggio;VALLE D'AOSTA;Residenze turisticoalberghiere;6
Giugno;VALLE D'AOSTA;Residenze turisticoalberghiere;7
Luglio;VALLE D'AOSTA;Residenze turisticoalberghiere;4
Agosto;VALLE D'AOSTA;Residenze turisticoalberghiere;1
Settembre;VALLE D'AOSTA;Residenze turisticoalberghiere;12
Ottobre;VALLE D'AOSTA;Residenze turisticoalberghiere;1
Novembre;VALLE D'AOSTA;Residenze turisticoalberghiere;4
Dicembre;VALLE D'AOSTA;Residenze turisticoalberghiere;5
Gennaio;LOMBARDIA;Residenze turisticoalberghiere;471
Febbraio;LOMBARDIA;Residenze turisticoalberghiere;588
Marzo;LOMBARDIA;Residenze turisticoalberghiere;589
Aprile;LOMBARDIA;Residenze turisticoalberghiere;479
Maggio;LOMBARDIA;Residenze turisticoalberghiere;460
Giugno;LOMBARDIA;Residenze turisticoalberghiere;491
Luglio;LOMBARDIA;Residenze turisticoalberghiere;467
Agosto;LOMBARDIA;Residenze turisticoalberghiere;304
Settembre;LOMBARDIA;Residenze turisticoalberghiere;558
Ottobre;LOMBARDIA;Residenze turisticoalberghiere;645
Novembre;LOMBARDIA;Residenze turisticoalberghiere;648
Dicembre;LOMBARDIA;Residenze turisticoalberghiere;650
Gennaio;VENETO;Residenze turisticoalberghiere;248
Febbraio;VENETO;Residenze turisticoalberghiere;328
Marzo;VENETO;Residenze turisticoalberghiere;328
Aprile;VENETO;Residenze turisticoalberghiere;294
Maggio;VENETO;Residenze turisticoalberghiere;294
Giugno;VENETO;Residenze turisticoalberghiere;265
Luglio;VENETO;Residenze turisticoalberghiere;220
Agosto;VENETO;Residenze turisticoalberghiere;92
Settembre;VENETO;Residenze turisticoalberghiere;297
Ottobre;VENETO;Residenze turisticoalberghiere;309
Novembre;VENETO;Residenze turisticoalberghiere;319
Dicembre;VENETO;Residenze turisticoalberghiere;330
Gennaio;FRIULI VENEZIA GIULIA;Residenze turisticoalberghiere;83
Febbraio;FRIULI VENEZIA GIULIA;Residenze turisticoalberghiere;108
Marzo;FRIULI VENEZIA GIULIA;Residenze turisticoalberghiere;116
Aprile;FRIULI VENEZIA GIULIA;Residenze turisticoalberghiere;97
Maggio;FRIULI VENEZIA GIULIA;Residenze turisticoalberghiere;94
Giugno;FRIULI VENEZIA GIULIA;Residenze turisticoalberghiere;84
Luglio;FRIULI VENEZIA GIULIA;Residenze turisticoalberghiere;57
Agosto;FRIULI VENEZIA GIULIA;Residenze turisticoalberghiere;28
Settembre;FRIULI VENEZIA GIULIA;Residenze turisticoalberghiere;89
Ottobre;FRIULI VENEZIA GIULIA;Residenze turisticoalberghiere;104
Novembre;FRIULI VENEZIA GIULIA;Residenze turisticoalberghiere;82
Dicembre;FRIULI VENEZIA GIULIA;Residenze turisticoalberghiere;95
Gennaio;LIGURIA;Residenze turisticoalberghiere;103
Febbraio;LIGURIA;Residenze turisticoalberghiere;121
Marzo;LIGURIA;Residenze turisticoalberghiere;116
Aprile;LIGURIA;Residenze turisticoalberghiere;124
Maggio;LIGURIA;Residenze turisticoalberghiere;158
Giugno;LIGURIA;Residenze turisticoalberghiere;134
Luglio;LIGURIA;Residenze turisticoalberghiere;113
Agosto;LIGURIA;Residenze turisticoalberghiere;79
Settembre;LIGURIA;Residenze turisticoalberghiere;137
Ottobre;LIGURIA;Residenze turisticoalberghiere;186
Novembre;LIGURIA;Residenze turisticoalberghiere;179
Dicembre;LIGURIA;Residenze turisticoalberghiere;187
Gennaio;EMILIA ROMAGNA;Residenze turisticoalberghiere;278
Febbraio;EMILIA ROMAGNA;Residenze turisticoalberghiere;301
Marzo;EMILIA ROMAGNA;Residenze turisticoalberghiere;229
Aprile;EMILIA ROMAGNA;Residenze turisticoalberghiere;269
Maggio;EMILIA ROMAGNA;Residenze turisticoalberghiere;280
Giugno;EMILIA ROMAGNA;Residenze turisticoalberghiere;235
Luglio;EMILIA ROMAGNA;Residenze turisticoalberghiere;200
Agosto;EMILIA ROMAGNA;Residenze turisticoalberghiere;87
Settembre;EMILIA ROMAGNA;Residenze turisticoalberghiere;267
Ottobre;EMILIA ROMAGNA;Residenze turisticoalberghiere;327
Novembre;EMILIA ROMAGNA;Residenze turisticoalberghiere;316
Dicembre;EMILIA ROMAGNA;Residenze turisticoalberghiere;283
Gennaio;TOSCANA;Residenze turisticoalberghiere;272
Febbraio;TOSCANA;Residenze turisticoalberghiere;376
Marzo;TOSCANA;Residenze turisticoalberghiere;376
Aprile;TOSCANA;Residenze turisticoalberghiere;354
Maggio;TOSCANA;Residenze turisticoalberghiere;364
Giugno;TOSCANA;Residenze turisticoalberghiere;286
Luglio;TOSCANA;Residenze turisticoalberghiere;254
Agosto;TOSCANA;Residenze turisticoalberghiere;155
Settembre;TOSCANA;Residenze turisticoalberghiere;329
Ottobre;TOSCANA;Residenze turisticoalberghiere;458
Novembre;TOSCANA;Residenze turisticoalberghiere;381
Dicembre;TOSCANA;Residenze turisticoalberghiere;304
Gennaio;UMBRIA;Residenze turisticoalberghiere;63
Febbraio;UMBRIA;Residenze turisticoalberghiere;86
Marzo;UMBRIA;Residenze turisticoalberghiere;95
Aprile;UMBRIA;Residenze turisticoalberghiere;93
Maggio;UMBRIA;Residenze turisticoalberghiere;105
Giugno;UMBRIA;Residenze turisticoalberghiere;86
Luglio;UMBRIA;Residenze turisticoalberghiere;63
Agosto;UMBRIA;Residenze turisticoalberghiere;36
Settembre;UMBRIA;Residenze turisticoalberghiere;101
Ottobre;UMBRIA;Residenze turisticoalberghiere;121
Novembre;UMBRIA;Residenze turisticoalberghiere;99
Dicembre;UMBRIA;Residenze turisticoalberghiere;100
Gennaio;MARCHE;Residenze turisticoalberghiere;103
Febbraio;MARCHE;Residenze turisticoalberghiere;165
Marzo;MARCHE;Residenze turisticoalberghiere;134
Aprile;MARCHE;Residenze turisticoalberghiere;160
Maggio;MARCHE;Residenze turisticoalberghiere;149
Giugno;MARCHE;Residenze turisticoalberghiere;145
Luglio;MARCHE;Residenze turisticoalberghiere;119
Agosto;MARCHE;Residenze turisticoalberghiere;78
Settembre;MARCHE;Residenze turisticoalberghiere;202
Ottobre;MARCHE;Residenze turisticoalberghiere;184
Novembre;MARCHE;Residenze turisticoalberghiere;185
Dicembre;MARCHE;Residenze turisticoalberghiere;147
Gennaio;LAZIO;Residenze turisticoalberghiere;455
Febbraio;LAZIO;Residenze turisticoalberghiere;1169
Marzo;LAZIO;Residenze turisticoalberghiere;1072
Aprile;LAZIO;Residenze turisticoalberghiere;527
Maggio;LAZIO;Residenze turisticoalberghiere;656
Giugno;LAZIO;Residenze turisticoalberghiere;507
Luglio;LAZIO;Residenze turisticoalberghiere;513
Agosto;LAZIO;Residenze turisticoalberghiere;294
Settembre;LAZIO;Residenze turisticoalberghiere;745
Ottobre;LAZIO;Residenze turisticoalberghiere;720
Novembre;LAZIO;Residenze turisticoalberghiere;581
Dicembre;LAZIO;Residenze turisticoalberghiere;594
Gennaio;ABRUZZO;Residenze turisticoalberghiere;59
Febbraio;ABRUZZO;Residenze turisticoalberghiere;129
Marzo;ABRUZZO;Residenze turisticoalberghiere;99
Aprile;ABRUZZO;Residenze turisticoalberghiere;93
Maggio;ABRUZZO;Residenze turisticoalberghiere;112
Giugno;ABRUZZO;Residenze turisticoalberghiere;82
Luglio;ABRUZZO;Residenze turisticoalberghiere;50
Agosto;ABRUZZO;Residenze turisticoalberghiere;49
Settembre;ABRUZZO;Residenze turisticoalberghiere;105
Ottobre;ABRUZZO;Residenze turisticoalberghiere;127
Novembre;ABRUZZO;Residenze turisticoalberghiere;111
Dicembre;ABRUZZO;Residenze turisticoalberghiere;75
Gennaio;MOLISE;Residenze turisticoalberghiere;15
Febbraio;MOLISE;Residenze turisticoalberghiere;19
Marzo;MOLISE;Residenze turisticoalberghiere;22
Aprile;MOLISE;Residenze turisticoalberghiere;24
Maggio;MOLISE;Residenze turisticoalberghiere;15
Giugno;MOLISE;Residenze turisticoalberghiere;18
Luglio;MOLISE;Residenze turisticoalberghiere;13
Agosto;MOLISE;Residenze turisticoalberghiere;6
Settembre;MOLISE;Residenze turisticoalberghiere;21
Ottobre;MOLISE;Residenze turisticoalberghiere;18
Novembre;MOLISE;Residenze turisticoalberghiere;20
Dicembre;MOLISE;Residenze turisticoalberghiere;20
Gennaio;CAMPANIA;Residenze turisticoalberghiere;323
Febbraio;CAMPANIA;Residenze turisticoalberghiere;449
Marzo;CAMPANIA;Residenze turisticoalberghiere;396
Aprile;CAMPANIA;Residenze turisticoalberghiere;356
Maggio;CAMPANIA;Residenze turisticoalberghiere;424
Giugno;CAMPANIA;Residenze turisticoalberghiere;359
Luglio;CAMPANIA;Residenze turisticoalberghiere;349
Agosto;CAMPANIA;Residenze turisticoalberghiere;243
Settembre;CAMPANIA;Residenze turisticoalberghiere;512
Ottobre;CAMPANIA;Residenze turisticoalberghiere;575
Novembre;CAMPANIA;Residenze turisticoalberghiere;493
